statement_date,period,charge_type,segment,segment_days,baseline_rate,nonbaseline_rate,energy_rate
2024-06-27,"May 25, 2024 - Jun 25, 2024",gas_service,0,32,1.54808,1.84743,
2024-06-27,"May 25, 2024 - Jun 25, 2024",gas_energy,0,7,,,0.22394
2024-06-27,"May 25, 2024 - Jun 25, 2024",gas_energy,1,25,,,0.23948
2024-07-29,"Jun 26, 2024 - Jul 25, 2024",gas_service,0,5,1.54808,,
2024-07-29,"Jun 26, 2024 - Jul 25, 2024",gas_service,1,25,1.55659,1.85989,
2024-07-29,"Jun 26, 2024 - Jul 25, 2024",gas_energy,0,5,,,0.23948
2024-07-29,"Jun 26, 2024 - Jul 25, 2024",gas_energy,1,25,,,0.27577
2024-08-28,"Jul 26, 2024 - Aug 26, 2024",gas_service,0,32,1.55659,,
2024-08-28,"Jul 26, 2024 - Aug 26, 2024",gas_energy,0,6,,,0.27577
2024-08-28,"Jul 26, 2024 - Aug 26, 2024",gas_energy,1,26,,,0.27904
2024-09-27,"Aug 27, 2024 - Sep 25, 2024",gas_service,0,30,1.55659,1.85989,
2024-09-27,"Aug 27, 2024 - Sep 25, 2024",gas_energy,0,5,,,0.27904
2024-09-27,"Aug 27, 2024 - Sep 25, 2024",gas_energy,1,25,,,0.27666
2024-10-29,"Sep 26, 2024 - Oct 25, 2024",gas_service,0,5,1.55659,,
2024-10-29,"Sep 26, 2024 - Oct 25, 2024",gas_service,1,25,1.56901,1.87417,
2024-10-29,"Sep 26, 2024 - Oct 25, 2024",gas_energy,0,5,,,0.27666
2024-10-29,"Sep 26, 2024 - Oct 25, 2024",gas_energy,1,25,,,0.3479
2024-11-27,"Oct 26, 2024 - Nov 25, 2024",gas_service,0,31,1.56901,1.87417,
2024-11-27,"Oct 26, 2024 - Nov 25, 2024",gas_energy,0,6,,,0.3479
2024-11-27,"Oct 26, 2024 - Nov 25, 2024",gas_energy,1,25,,,0.39875
2024-12-30,"Nov 26, 2024 - Dec 26, 2024",gas_service,0,31,1.56901,1.87417,
2024-12-30,"Nov 26, 2024 - Dec 26, 2024",gas_energy,0,5,,,0.39875
2024-12-30,"Nov 26, 2024 - Dec 26, 2024",gas_energy,1,26,,,0.42088
2025-01-29,"Dec 27, 2024 - Jan 27, 2025",gas_service,0,5,1.56901,1.87417,
2025-01-29,"Dec 27, 2024 - Jan 27, 2025",gas_service,1,27,1.6198,1.91783,
2025-01-29,"Dec 27, 2024 - Jan 27, 2025",gas_energy,0,5,,,0.42088
2025-01-29,"Dec 27, 2024 - Jan 27, 2025",gas_energy,1,27,,,0.44564
2025-02-28,"Jan 28, 2025 - Feb 26, 2025",gas_service,0,4,1.6198,1.91783,
2025-02-28,"Jan 28, 2025 - Feb 26, 2025",gas_service,1,26,2.04568,2.40579,
2025-02-28,"Jan 28, 2025 - Feb 26, 2025",gas_energy,0,4,,,0.44564
2025-02-28,"Jan 28, 2025 - Feb 26, 2025",gas_energy,1,26,,,0.39712
2025-03-31,"Feb 27, 2025 - Mar 27, 2025",gas_service,0,29,2.04568,2.40579,
2025-03-31,"Feb 27, 2025 - Mar 27, 2025",gas_energy,0,2,,,0.39712
2025-03-31,"Feb 27, 2025 - Mar 27, 2025",gas_energy,1,27,,,0.4359
2025-04-30,"Mar 28, 2025 - Apr 28, 2025",gas_service,0,32,2.04568,2.40579,
2025-04-30,"Mar 28, 2025 - Apr 28, 2025",gas_energy,0,4,,,0.4359
2025-04-30,"Mar 28, 2025 - Apr 28, 2025",gas_energy,1,28,,,0.3331
2025-05-30,"Apr 29, 2025 - May 28, 2025",gas_service,0,30,2.04568,2.40579,
2025-05-30,"Apr 29, 2025 - May 28, 2025",gas_energy,0,2,,,0.3331
2025-05-30,"Apr 29, 2025 - May 28, 2025",gas_energy,1,28,,,0.28341
2025-06-30,"May 29, 2025 - Jun 26, 2025",gas_service,0,29,2.04568,2.40579,
2025-06-30,"May 29, 2025 - Jun 26, 2025",gas_energy,0,3,,,0.28341
2025-06-30,"May 29, 2025 - Jun 26, 2025",gas_energy,1,26,,,0.33603
2025-07-30,"Jun 27, 2025 - Jul 28, 2025",gas_service,0,4,2.04568,,
2025-07-30,"Jun 27, 2025 - Jul 28, 2025",gas_service,1,28,2.03321,,
2025-07-30,"Jun 27, 2025 - Jul 28, 2025",gas_energy,0,4,,,0.33603
2025-07-30,"Jun 27, 2025 - Jul 28, 2025",gas_energy,1,28,,,0.40247
2025-08-28,"Jul 29, 2025 - Aug 26, 2025",gas_service,0,29,2.03321,2.38915,
2025-08-28,"Jul 29, 2025 - Aug 26, 2025",gas_energy,0,3,,,0.40247
2025-08-28,"Jul 29, 2025 - Aug 26, 2025",gas_energy,1,26,,,0.40983
2025-09-29,"Aug 27, 2025 - Sep 25, 2025",gas_service,0,5,2.03321,,
