statement_date,period,days,generation_provider,net_kwh,gross_kwh,sdge_delivery,cca_generation,current_charges,base_services_charge
2024-06-27,5/25/24 - 6/25/24,32,bundled,346.0,1438.0,48.25,0.0,48.25,
2024-07-29,6/26/24 - 7/25/24,30,bundled,710.0,1592.0,51.69,0.0,51.69,
2024-08-28,7/26/24 - 8/26/24,32,bundled,852.0,1814.0,56.67,0.0,56.67,
2024-09-27,8/27/24 - 9/25/24,30,bundled,802.0,1603.0,113.24,0.0,113.24,
2024-10-29,9/26/24 - 10/25/24,30,bundled,646.0,1678.0,61.97,0.0,61.97,
2024-11-27,10/26/24 - 11/25/24,31,bundled,511.0,1394.0,69.27,0.0,69.27,
2024-12-30,11/26/24 - 12/26/24,31,bundled,1186.0,1776.0,218.69,0.0,218.69,
2025-01-31,12/27/24 - 1/27/25,32,CCA,946.0,1627.0,97.12,76.09,173.21,
2025-03-04,1/28/25 - 2/26/25,30,CCA,773.0,1522.0,50.84,58.06,108.9,
2025-04-02,2/27/25 - 3/27/25,29,CCA,458.0,1391.0,71.6,45.27,116.87,
2025-05-02,3/28/25 - 4/28/25,32,CCA,417.0,1516.0,77.1,37.07,114.17,
2025-06-03,4/29/25 - 5/28/25,30,CCA,892.0,1813.0,15.91,46.1,62.01,
2025-07-02,5/29/25 - 6/26/25,29,CCA,1118.0,1831.0,68.71,132.21,200.92,
2025-08-01,6/27/25 - 7/28/25,32,CCA,806.0,1854.0,36.64,131.97,168.61,
2025-09-02,7/29/25 - 8/26/25,29,CCA,1335.0,2131.0,117.63,223.02,340.65,
2025-10-01,8/27/25 - 9/25/25,30,CCA,1797.0,2490.0,185.12,315.97,501.09,
2025-10-31,9/26/25 - 9/30/25,5,CCA,224.0,308.0,24.09,37.28,61.37,
2025-10-31,10/1/25 - 10/27/25,27,CCA,1204.0,1904.0,83.71,194.64,278.35,21.42
2025-12-03,10/28/25 - 11/25/25,29,CCA,1002.0,1637.0,60.21,108.03,168.24,23.01
2026-01-06,11/26/25 - 12/26/25,31,CCA,1152.0,1780.0,47.01,83.74,130.75,24.6
2026-02-02,12/27/25 - 1/27/26,32,CCA,1183.0,1772.0,177.37,114.23,291.6,25.39
2026-03-04,1/28/26 - 2/26/26,30,CCA,934.0,1720.0,75.32,56.82,132.14,23.8
2026-04-02,2/27/26 - 3/27/26,29,CCA,817.0,1791.0,184.41,90.6,275.01,23.01
2026-05-04,3/28/26 - 4/28/26,32,CCA,865.0,1894.0,178.23,88.12,266.35,25.39
2026-06-03,4/29/26 - 5/28/26,30,CCA,796.0,1776.0,179.69,89.81,269.5,23.8
2026-07-02,5/29/26 - 6/26/26,29,CCA,987.0,1934.0,228.93,169.63,398.56,23.01
