statement_date,period,period_end_month,therms,total_gas_service,billed_amount,baseline_rate,nonbaseline_rate
2024-06-27,"May 25, 2024 - Jun 25, 2024",jun 2024,18.0,36.05,36.05,1.54808,1.84743
2024-07-29,"Jun 26, 2024 - Jul 25, 2024",jul 2024,12.0,23.44,23.44,1.55659,1.85989
2024-08-28,"Jul 26, 2024 - Aug 26, 2024",aug 2024,11.0,21.3,21.3,,
2024-09-27,"Aug 27, 2024 - Sep 25, 2024",sep 2024,13.0,25.77,25.77,1.55659,1.85989
2024-10-29,"Sep 26, 2024 - Oct 25, 2024",oct 2024,14.0,29.0,29.0,1.56901,1.87417
2024-11-27,"Oct 26, 2024 - Nov 25, 2024",nov 2024,46.0,103.0,103.0,1.56901,1.87417
2024-12-30,"Nov 26, 2024 - Dec 26, 2024",dec 2024,74.0,166.15,166.15,1.56901,1.87417
2025-01-29,"Dec 27, 2024 - Jan 27, 2025",jan 2025,97.0,227.76,227.76,1.56901,1.87417
2025-02-28,"Jan 28, 2025 - Feb 26, 2025",feb 2025,76.0,204.58,204.58,1.6198,1.91783
2025-03-31,"Feb 27, 2025 - Mar 27, 2025",mar 2025,64.0,181.7,181.7,2.04568,2.40579
2025-04-30,"Mar 28, 2025 - Apr 28, 2025",apr 2025,40.0,106.86,106.86,2.04568,2.40579
2025-05-30,"Apr 29, 2025 - May 28, 2025",may 2025,16.0,41.0,41.0,2.04568,2.40579
2025-06-30,"May 29, 2025 - Jun 26, 2025",jun 2025,13.0,33.52,33.52,2.04568,2.40579
2025-07-30,"Jun 27, 2025 - Jul 28, 2025",jul 2025,9.0,22.94,22.94,,
2025-08-28,"Jul 29, 2025 - Aug 26, 2025",aug 2025,13.0,34.35,34.35,2.03321,2.38915
2025-09-29,"Aug 27, 2025 - Sep 25, 2025",sep 2025,12.0,30.64,30.64,2.03574,2.39206
2025-10-29,"Sep 26, 2025 - Oct 27, 2025",oct 2025,14.0,35.61,35.61,2.02136,2.37552
2025-11-28,"Oct 28, 2025 - Nov 25, 2025",nov 2025,34.0,93.57,93.57,2.02136,2.37552
2025-12-30,"Nov 26, 2025 - Dec 26, 2025",dec 2025,61.0,170.88,170.88,2.02136,2.37552
2026-01-29,"Dec 27, 2025 - Jan 27, 2026",jan 2026,72.0,203.25,203.25,2.02136,2.37552
2026-03-02,"Jan 28, 2026 - Feb 26, 2026",feb 2026,58.0,164.55,164.55,2.00357,2.37679
2026-03-31,"Feb 27, 2026 - Mar 27, 2026",mar 2026,22.0,56.06,56.06,2.00489,2.37832
2026-04-30,"Mar 28, 2026 - Apr 28, 2026",apr 2026,19.0,44.54,44.54,,
2026-06-01,"Apr 29, 2026 - May 28, 2026",may 2026,15.0,36.22,36.22,2.00489,2.37832
2026-06-30,"May 29, 2026 - Jun 26, 2026",jun 2026,12.0,29.73,29.73,2.00489,2.37832
