statement_date,period,section,season,segment,segment_days,tou_period,kwh,rate_per_kwh
2024-06-27,5/25/24 - 6/25/24,delivery,winter,0,7,on_peak,-4.0,0.0
2024-06-27,5/25/24 - 6/25/24,delivery,winter,0,7,off_peak,-138.0,0.0
2024-06-27,5/25/24 - 6/25/24,delivery,winter,0,7,super_off_peak,204.0,0.04013
2024-06-27,5/25/24 - 6/25/24,delivery,summer,0,25,on_peak,50.0,0.26438
2024-06-27,5/25/24 - 6/25/24,delivery,summer,0,25,off_peak,-464.0,0.0
2024-06-27,5/25/24 - 6/25/24,delivery,summer,0,25,super_off_peak,698.0,0.04013
2024-06-27,5/25/24 - 6/25/24,generation,winter,0,7,on_peak,-4.0,0.0
2024-06-27,5/25/24 - 6/25/24,generation,winter,0,7,off_peak,-138.0,0.0
2024-06-27,5/25/24 - 6/25/24,generation,winter,0,7,super_off_peak,204.0,0.06133
2024-06-27,5/25/24 - 6/25/24,generation,summer,0,25,on_peak,50.0,0.38826
2024-06-27,5/25/24 - 6/25/24,generation,summer,0,25,off_peak,-464.0,0.0
2024-06-27,5/25/24 - 6/25/24,generation,summer,0,25,super_off_peak,698.0,0.06741
2024-07-29,6/26/24 - 7/25/24,delivery,summer,0,30,on_peak,216.0,0.26438
2024-07-29,6/26/24 - 7/25/24,delivery,summer,0,30,off_peak,-442.0,0.0
2024-07-29,6/26/24 - 7/25/24,delivery,summer,0,30,super_off_peak,936.0,0.04013
2024-07-29,6/26/24 - 7/25/24,generation,summer,0,30,on_peak,216.0,0.38826
2024-07-29,6/26/24 - 7/25/24,generation,summer,0,30,off_peak,-442.0,0.0
2024-07-29,6/26/24 - 7/25/24,generation,summer,0,30,super_off_peak,936.0,0.06741
2024-08-28,7/26/24 - 8/26/24,delivery,summer,0,32,on_peak,281.0,0.26438
2024-08-28,7/26/24 - 8/26/24,delivery,summer,0,32,off_peak,-409.0,0.0
2024-08-28,7/26/24 - 8/26/24,delivery,summer,0,32,super_off_peak,980.0,0.04013
2024-08-28,7/26/24 - 8/26/24,generation,summer,0,32,on_peak,281.0,0.38826
2024-08-28,7/26/24 - 8/26/24,generation,summer,0,32,off_peak,-409.0,0.0
2024-08-28,7/26/24 - 8/26/24,generation,summer,0,32,super_off_peak,980.0,0.06741
2024-09-27,8/27/24 - 9/25/24,delivery,summer,0,30,on_peak,308.0,0.26438
2024-09-27,8/27/24 - 9/25/24,delivery,summer,0,30,off_peak,-410.0,0.0
