date,hour,kgco2_per_mwh
2025-07-28,0,220.5
2025-07-28,1,229.1
2025-07-28,2,245.0
2025-07-28,3,251.1
2025-07-28,4,242.2
2025-07-28,5,231.2
2025-07-28,6,197.3
2025-07-28,7,143.1
2025-07-28,8,94.7
2025-07-28,9,70.3
2025-07-28,10,67.6
2025-07-28,11,66.2
2025-07-28,12,56.7
2025-07-28,13,37.7
2025-07-28,14,27.7
2025-07-28,15,31.5
2025-07-28,16,41.1
2025-07-28,17,68.1
2025-07-28,18,90.7
2025-07-28,19,121.5
2025-07-28,20,136.0
2025-07-28,21,149.6
2025-07-28,22,198.0
2025-07-28,23,218.0
2025-08-08,0,289.1
2025-08-08,1,294.5
2025-08-08,2,304.4
2025-08-08,3,310.6
2025-08-08,4,309.2
2025-08-08,5,299.6
2025-08-08,6,289.4
2025-08-08,7,246.9
2025-08-08,8,201.1
2025-08-08,9,185.7
2025-08-08,10,180.7
2025-08-08,11,169.6
2025-08-08,12,150.7
2025-08-08,13,136.9
2025-08-08,14,128.0
2025-08-08,15,132.1
2025-08-08,16,144.7
2025-08-08,17,167.5
2025-08-08,18,185.8
2025-08-08,19,214.9
2025-08-08,20,216.5
2025-08-08,21,224.0
2025-08-08,22,260.8
2025-08-08,23,274.9
2025-08-22,0,306.2
2025-08-22,1,315.0
2025-08-22,2,324.0
2025-08-22,3,326.3
2025-08-22,4,318.1
2025-08-22,5,317.2
2025-08-22,6,304.1
2025-08-22,7,260.8
2025-08-22,8,214.2
2025-08-22,9,202.4
2025-08-22,10,191.9
2025-08-22,11,173.7
2025-08-22,12,167.0
2025-08-22,13,167.5
2025-08-22,14,174.1
2025-08-22,15,170.3
2025-08-22,16,182.3
2025-08-22,17,203.0
2025-08-22,18,227.5
2025-08-22,19,261.1
2025-08-22,20,256.8
2025-08-22,21,255.0
2025-08-22,22,287.3
2025-08-22,23,302.3
2025-09-08,0,307.2
2025-09-08,1,310.7
2025-09-08,2,319.9
2025-09-08,3,317.1
2025-09-08,4,306.7
2025-09-08,5,299.0
2025-09-08,6,274.3
2025-09-08,7,239.9
2025-09-08,8,157.8
2025-09-08,9,145.3
2025-09-08,10,136.6
