statement_date,period,season,tou_period,kwh,rate_usd_per_kwh,usd,provider,authority,evidence,source_pdf,note
2025-01-31,12/27/24 - 1/27/25,winter,on_peak,255.0,0.24430,62.30,CCA,charged_tariff,direct,sdge_electric_2025-01-31.pdf,printed on 12/27/24 - 1/27/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-01-31,12/27/24 - 1/27/25,winter,off_peak,-219.0,0.15782,-34.63,CCA,charged_tariff,direct,sdge_electric_2025-01-31.pdf,printed on 12/27/24 - 1/27/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-01-31,12/27/24 - 1/27/25,winter,super_off_peak,910.0,0.05187,47.19,CCA,charged_tariff,direct,sdge_electric_2025-01-31.pdf,printed on 12/27/24 - 1/27/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-01-31,12/27/24 - 1/27/25,,clean_impact_plus,945.0,0.00100,0.95,CCA,charged_tariff,direct,sdge_electric_2025-01-31.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2025-01-31,12/27/24 - 1/27/25,,state_surcharge_tax,,,0.28,CCA,charged_fee,direct,sdge_electric_2025-01-31.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2025-01-31,12/27/24 - 1/27/25,,total_printed,,,76.09,CCA,charged_total,direct,sdge_electric_2025-01-31.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($76.09) with a diff of $+0.00"
2025-03-04,1/28/25 - 2/26/25,winter,on_peak,207.0,0.24430,50.50,CCA,charged_tariff,direct,sdge_electric_2025-03-04.pdf,printed on 1/28/25 - 2/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-03-04,1/28/25 - 2/26/25,winter,off_peak,-215.0,0.15782,-33.98,CCA,charged_tariff,direct,sdge_electric_2025-03-04.pdf,printed on 1/28/25 - 2/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-03-04,1/28/25 - 2/26/25,winter,super_off_peak,781.0,0.05187,40.54,CCA,charged_tariff,direct,sdge_electric_2025-03-04.pdf,printed on 1/28/25 - 2/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-03-04,1/28/25 - 2/26/25,,clean_impact_plus,773.0,0.00100,0.77,CCA,charged_tariff,direct,sdge_electric_2025-03-04.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2025-03-04,1/28/25 - 2/26/25,,state_surcharge_tax,,,0.23,CCA,charged_fee,direct,sdge_electric_2025-03-04.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2025-03-04,1/28/25 - 2/26/25,,total_printed,,,58.06,CCA,charged_total,direct,sdge_electric_2025-03-04.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($58.06) with a diff of $+0.00"
2025-04-02,2/27/25 - 3/27/25,winter,on_peak,134.0,0.24430,32.85,CCA,charged_tariff,direct,sdge_electric_2025-04-02.pdf,printed on 2/27/25 - 3/27/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-04-02,2/27/25 - 3/27/25,winter,off_peak,-47.0,0.15782,-7.44,CCA,charged_tariff,direct,sdge_electric_2025-04-02.pdf,printed on 2/27/25 - 3/27/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-04-02,2/27/25 - 3/27/25,winter,super_off_peak,371.0,0.05187,19.26,CCA,charged_tariff,direct,sdge_electric_2025-04-02.pdf,printed on 2/27/25 - 3/27/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
