date,generated_kwh
20210713,59.85
20210714,60.252
20210715,61.111
20210716,60.934
20210717,58.817
20210718,61.028
20210719,63.075
20210720,63.223
20210721,62.315
20210722,55.954
20210723,56.761
20210724,48.453
20210725,40.833
20210726,15.402
20210727,56.348
20210728,63.303
20210729,62.934
20210730,55.438
20210731,63.349
20210801,64.391
20210802,64.071
20210803,63.656
20210804,63.315
20210805,62.668
20210806,56.054
20210807,64.758
20210808,57.418
20210809,61.533
20210810,60.418
20210811,60.158
20210813,59.59
20210814,45.018
20210815,57.964
20210816,56.245
20210817,55.237
20210818,22.706
20210819,55.962
20210820,27.521
20210821,31.561
20210822,26.03
20210823,56.908
20210824,58.402
20210825,58.677
20210826,60.29
20210827,60.578
20210828,60.856
20210829,39.646
20210830,49.222
20210831,15.689
20210901,35.788
20210902,54.61
20210903,60.641
20210904,60.441
20210905,58.182
20210906,57.534
20210907,50.64
20210908,56.149
20210909,55.993
20210910,56.647
20210911,56.564
20220713,62.427
20220714,56.375
20220715,62.772
20220716,59.777
20220717,56.804
20220718,60.65
20220719,59.623
20220720,58.555
20220721,63.841
20220722,60.213
20220723,58.332
20220724,59.65
20220725,61.38
20220726,61.406
20220727,59.587
20220728,60.432
20220729,58.444
20220730,54.929
20220731,48.167
20220801,59.13
20220802,59.932
20220803,57.05
20220804,34.481
20220805,59.8
20220806,61.712
20220807,54.028
20220808,60.258
20220809,57.77
20220810,58.299
20220811,60.036
20220813,56.561
20220814,58.516
20220815,59.748
20220816,57.801
20220817,58.786
20220818,59.635
20220819,58.86
20220820,58.473
20220821,43.016
20220822,55.511
20220823,57.775
20220824,57.078
20220825,57.096
20220826,58.165
20220827,58.492
20220828,56.856
20220829,58.296
20220830,57.168
20220831,55.904
20220901,54.352
20220902,50.713
20220903,53.47
20220904,47.355
20220905,55.276
20220906,54.841
20220907,53.927
20220908,26.564
20220909,7.257
20220910,19.639
20220911,49.017
20230713,60.699
20230714,62.602
20230715,59.991
20230716,60.427
20230717,61.013
20230718,60.927
20230719,59.965
20230720,60.782
20230721,62.594
20230722,51.489
20230723,16.704
20230724,59.842
20230725,59.465
20230726,59.909
20230727,61.275
20230728,59.541
20230729,52.359
20230730,35.17
20230731,23.212
20230801,58.161
20230802,62.175
20230803,65.031
20230804,62.329
20230805,63.996
20230806,63.734
20230807,62.988
20230808,36.764
20230809,53.551
20230810,40.038
20230811,43.9
20230813,57.702
20230814,57.017
20230815,56.377
20230816,56.838
20230817,60.295
20230818,60.467
20230819,38.366
20230820,5.375
20230821,30.41
20230822,61.329
20230823,60.09
20230824,56.708
20230825,62.004
20230826,62.375
20230827,59.558
20230828,59.228
20230829,58.707
20230830,58.22
20230831,53.158
20230901,41.618
20230902,26.456
20230903,39.677
20230904,53.159
20230905,18.086
20230906,60.818
20230907,59.457
20230908,50.645
20230909,54.335
20230910,32.09
20230911,21.101
20240703,62.309
20240704,60.273
20240705,60.944
20240706,60.545
20240707,61.842
20240708,55.317
20240709,59.618
20240710,55.646
20240711,54.917
20240712,44.36
20240713,59.283
20240714,57.001
20240715,57.862
20240716,54.619
20240717,57.128
20240718,59.398
20240719,60.75
20240720,56.464
20240721,60.287
20240722,57.543
20240723,57.936
20240724,57.074
20240725,57.083
20240726,58.277
20240727,60.529
20240728,62.251
20240729,61.864
20240730,61.916
20240731,60.481
20240801,49.177
20240802,58.306
20240803,58.484
20240804,58.793
20240805,54.933
20240806,57.553
20240807,46.509
20240808,57.686
20240809,56.574
20240810,55.639
20240811,43.42
20240812,0.0
20240813,62.842
20240814,64.66
20240815,64.299
20240816,58.582
20240817,60.989
20240818,64.036
20240819,63.883
20240820,61.575
20240821,61.578
20240822,62.774
20240823,64.217
20240824,61.674
20240825,61.934
20240826,61.997
20240827,62.779
20240828,63.037
20240829,60.456
20240830,46.89
20240831,59.007
20240901,51.976
20240902,58.234
20240903,59.041
20240904,57.692
20240905,56.559
20240906,54.465
20240907,56.186
20240908,51.315
20240909,53.467
20240910,56.639
20240911,60.093
20240912,56.644
20240913,57.437
20240914,49.403
20240915,29.566
20240916,33.429
20240917,59.53
20240918,38.659
20240919,45.061
20240920,41.913
20240921,38.58
20240922,55.81
20240923,48.822
20240924,51.165
20240925,21.704
20240926,51.393
20240927,38.915
20240928,54.738
20240929,54.132
20240930,56.249
20241001,50.342
20241002,52.796
20241003,52.942
20241004,52.516
20241005,51.384
20241006,43.97
20241007,47.888
20241008,54.697
20241009,54.178
20241010,54.619
20250724,62.926
20250725,61.611
20250726,59.996
20250727,63.384
20250728,61.803
20250729,59.469
20250730,62.913
20250731,62.766
20250801,62.339
20250802,61.204
20250803,59.386
20250804,56.255
20250805,59.780
20250806,57.789
20250807,57.981
20250808,58.227
20250809,58.152
20250810,57.289
20250811,58.053
20250813,57.747
20250814,53.402
20250815,58.785
20250816,54.574
20250817,59.568
20250818,59.671
20250819,59.117
20250820,47.835
20250821,51.863
20250822,55.813
20250823,41.068
20250824,56.197
20250825,49.909
20250826,55.919
20250827,48.868
20250828,16.170
20250829,56.982
20250830,57.345
20250831,57.846
20250901,56.226
20250902,53.570
20250903,55.858
20250904,56.650
20250905,57.404
20250906,57.435
20250907,55.513
20250908,56.624
20250909,57.993
20250910,57.400
20250911,56.128
