date,peak_w
20240713,8088
20240714,8124
20240715,8088
20240716,7992
20240717,8052
20240718,8028
20240719,8148
20240720,8028
20240721,8016
20240722,7848
20240723,7848
20240724,7740
20240725,7776
20240726,7980
20240727,8328
20240728,8436
20240729,8352
20240730,8460
20240731,8340
20240801,8100
20240802,7956
20240803,8016
20240804,8100
20240805,8220
20240806,7980
20240807,7740
20240808,8124
20240809,7944
20240810,7848
20240811,7992
20240813,8736
20240814,8880
20240815,8916
20240816,8820
20240817,8832
20240818,8940
20240819,8832
20240820,8736
20240821,8772
20240822,8844
20240823,9048
20240824,8880
20240825,8856
20240826,8856
20240827,8928
20240828,8964
20240829,8976
20240830,9204
20240831,8640
20240901,8556
20240902,8544
20240903,8616
20240904,8532
20240905,8388
20240906,8376
20240907,8268
20240908,8040
20240909,7980
20240910,8532
20240911,8976
