# UDC "2" is an INFERENCE (candidate SDG&E by 2025 enrollment scale, cross-checked against the 2024 CEC analysis's real utility names -- see analysis/dsgs_vpp_backtest.py's module docstring), not a confirmed identity in this anonymized CEC file.
date,hour_end,event_type,caiso_lmp_usd_per_mwh
2025-05-20,20,Test Non-Capacity,50.78548
2025-05-20,21,Test Non-Capacity,52.0416
2025-05-22,20,Test Capacity,51.75706
2025-05-22,21,Test Capacity,52.50963
2025-05-28,19,Test Capacity,53.47496
2025-05-28,20,Test Capacity,55.05001
2025-05-29,20,Test Capacity,61.67823
2025-05-29,21,Test Capacity,60.87
2025-06-19,20,Test Capacity,60.45635
2025-06-19,21,Test Capacity,58.86745
2025-06-24,20,Test Capacity,46.43228
2025-06-24,21,Test Capacity,48.19915
2025-06-25,20,Test Capacity,57.73034
2025-06-25,21,Test Capacity,56.15523
2025-06-26,20,Test Capacity,52.55024
2025-06-26,21,Test Capacity,52.62434
2025-06-27,20,Test Capacity,59.52054
2025-06-27,21,Test Capacity,56.6823
2025-06-30,20,Test Capacity,68.78351
2025-06-30,21,Test Capacity,68.77057
2025-07-22,20,Test Capacity,47.29731
2025-07-22,21,Test Capacity,47.40077
2025-07-29,20,Test Capacity,59.68113
2025-07-29,21,Test Capacity,56.4175
2025-07-30,20,Test Capacity,55.83822
2025-07-30,21,Test Capacity,54.57397
2025-07-31,19,Test Capacity,49.3248
2025-07-31,20,Test Capacity,50.36542
2025-08-21,19,Test Capacity,110.87108
2025-08-21,20,Test Capacity,107.00868
2025-08-22,19,Test Capacity,108.11571
2025-08-22,20,Test Capacity,121.07777
2025-08-25,19,Test Non-Capacity,85.41826
2025-08-25,20,Test Non-Capacity,87.3805
2025-08-27,19,Test Capacity,64.17923
2025-08-27,20,Test Capacity,68.41765
2025-08-28,19,Test Capacity,63.28224
2025-08-28,20,Test Capacity,62.91238
2025-08-29,17,Test Capacity,75.328
2025-08-29,18,Test Capacity,97.667
2025-09-03,19,Test Capacity,93.47264
2025-09-03,20,Test Capacity,97.15879
2025-09-16,18,Test Capacity,80.24077
2025-09-16,19,Test Capacity,83.39
2025-09-17,18,Test Non-Capacity,79.5795
2025-09-17,19,Test Non-Capacity,74.53127
2025-09-18,18,Test Capacity,88.6859
2025-09-18,19,Test Capacity,79.66131
2025-09-23,18,Test Capacity,82.41706
2025-09-23,19,Test Capacity,91.0326
2025-09-25,19,Test Capacity,55.38
2025-09-25,20,Test Capacity,54.58387
2025-09-26,18,Test Capacity,54.35299
2025-09-26,19,Test Capacity,54.78708
2025-09-30,19,Test Capacity,45.99993
2025-09-30,20,Test Capacity,46.03
2025-10-10,18,Test Capacity,59.25944
2025-10-10,19,Test Capacity,58.30828
2025-10-21,18,Test Non-Capacity,55.20589
2025-10-21,19,Test Non-Capacity,54.63887
2025-10-22,19,Test Capacity,49.34607
2025-10-22,20,Test Capacity,47.41471
2025-10-28,18,Test Capacity,62.29814
2025-10-28,19,Test Capacity,60.93226
2025-10-29,18,Test Capacity,67.74258
2025-10-29,19,Test Capacity,70.36833
2025-10-30,18,Test Capacity,63.73928
2025-10-30,19,Test Capacity,58.69837
