period,days,net_kwh,gross_kwh,sdge_delivery,cca_generation,current_charges
6/27/25 - 7/28/25,32,806.0,1854.0,36.64,131.97,168.61
7/29/25 - 8/26/25,29,1335.0,2131.0,117.63,223.02,340.65
8/27/25 - 9/25/25,30,1797.0,2490.0,185.12,315.97,501.09
9/26/25 - 9/30/25,5,224.0,308.0,24.09,37.28,61.37
10/1/25 - 10/27/25,27,1204.0,1344.0,83.71,194.64,278.35
10/28/25 - 11/25/25,29,1002.0,1637.0,60.21,108.03,168.24
11/26/25 - 12/26/25,31,1152.0,1780.0,47.01,83.74,130.75
12/27/25 - 1/27/26,32,1183.0,1772.0,177.37,114.23,291.6
1/28/26 - 2/26/26,30,934.0,1720.0,75.32,56.82,132.14
2/27/26 - 3/27/26,29,817.0,1791.0,184.41,90.6,275.01
3/28/26 - 4/28/26,32,865.0,1894.0,178.23,88.12,266.35
4/29/26 - 5/28/26,30,796.0,1776.0,179.69,89.81,269.5
5/29/26 - 6/26/26,29,987.0,1934.0,228.93,169.63,398.56
