rate_name,component,month,day_type,hour,value_usd_per_kwh,rate_lookup_id,source_value_name,sector
NBT00,delivery,Jan,Weekday,0,0.000812,USCA-SDXX-NB00-0000,Jan Weekday HS0,All
NBT00,delivery,Jan,Weekday,1,0.000793,USCA-SDXX-NB00-0000,Jan Weekday HS1,All
NBT00,delivery,Jan,Weekday,2,0.000772,USCA-SDXX-NB00-0000,Jan Weekday HS2,All
NBT00,delivery,Jan,Weekday,3,0.000767,USCA-SDXX-NB00-0000,Jan Weekday HS3,All
NBT00,delivery,Jan,Weekday,4,0.000787,USCA-SDXX-NB00-0000,Jan Weekday HS4,All
NBT00,delivery,Jan,Weekday,5,0.00082,USCA-SDXX-NB00-0000,Jan Weekday HS5,All
NBT00,delivery,Jan,Weekday,6,0.000821,USCA-SDXX-NB00-0000,Jan Weekday HS6,All
NBT00,delivery,Jan,Weekday,7,0.000778,USCA-SDXX-NB00-0000,Jan Weekday HS7,All
NBT00,delivery,Jan,Weekday,8,0.000668,USCA-SDXX-NB00-0000,Jan Weekday HS8,All
NBT00,delivery,Jan,Weekday,9,0.000595,USCA-SDXX-NB00-0000,Jan Weekday HS9,All
NBT00,delivery,Jan,Weekday,10,0.00058,USCA-SDXX-NB00-0000,Jan Weekday HS10,All
NBT00,delivery,Jan,Weekday,11,0.000573,USCA-SDXX-NB00-0000,Jan Weekday HS11,All
NBT00,delivery,Jan,Weekday,12,0.000573,USCA-SDXX-NB00-0000,Jan Weekday HS12,All
NBT00,delivery,Jan,Weekday,13,0.000548,USCA-SDXX-NB00-0000,Jan Weekday HS13,All
NBT00,delivery,Jan,Weekday,14,0.000539,USCA-SDXX-NB00-0000,Jan Weekday HS14,All
NBT00,delivery,Jan,Weekday,15,0.000557,USCA-SDXX-NB00-0000,Jan Weekday HS15,All
NBT00,delivery,Jan,Weekday,16,0.000713,USCA-SDXX-NB00-0000,Jan Weekday HS16,All
NBT00,delivery,Jan,Weekday,17,0.001596,USCA-SDXX-NB00-0000,Jan Weekday HS17,All
NBT00,delivery,Jan,Weekday,18,0.001644,USCA-SDXX-NB00-0000,Jan Weekday HS18,All
NBT00,delivery,Jan,Weekday,19,0.001458,USCA-SDXX-NB00-0000,Jan Weekday HS19,All
NBT00,delivery,Jan,Weekday,20,0.001452,USCA-SDXX-NB00-0000,Jan Weekday HS20,All
NBT00,delivery,Jan,Weekday,21,0.001439,USCA-SDXX-NB00-0000,Jan Weekday HS21,All
NBT00,delivery,Jan,Weekday,22,0.001457,USCA-SDXX-NB00-0000,Jan Weekday HS22,All
NBT00,delivery,Jan,Weekday,23,0.001411,USCA-SDXX-NB00-0000,Jan Weekday HS23,All
NBT00,delivery,Jan,Weekend,0,0.000804,USCA-SDXX-NB00-0000,Jan Weekend HS0,All
NBT00,delivery,Jan,Weekend,1,0.00081,USCA-SDXX-NB00-0000,Jan Weekend HS1,All
NBT00,delivery,Jan,Weekend,2,0.000792,USCA-SDXX-NB00-0000,Jan Weekend HS2,All
NBT00,delivery,Jan,Weekend,3,0.00078,USCA-SDXX-NB00-0000,Jan Weekend HS3,All
NBT00,delivery,Jan,Weekend,4,0.00077,USCA-SDXX-NB00-0000,Jan Weekend HS4,All
NBT00,delivery,Jan,Weekend,5,0.00078,USCA-SDXX-NB00-0000,Jan Weekend HS5,All
NBT00,delivery,Jan,Weekend,6,0.000804,USCA-SDXX-NB00-0000,Jan Weekend HS6,All
NBT00,delivery,Jan,Weekend,7,0.000727,USCA-SDXX-NB00-0000,Jan Weekend HS7,All
NBT00,delivery,Jan,Weekend,8,0.000598,USCA-SDXX-NB00-0000,Jan Weekend HS8,All
NBT00,delivery,Jan,Weekend,9,0.000509,USCA-SDXX-NB00-0000,Jan Weekend HS9,All
NBT00,delivery,Jan,Weekend,10,0.000493,USCA-SDXX-NB00-0000,Jan Weekend HS10,All
NBT00,delivery,Jan,Weekend,11,0.000481,USCA-SDXX-NB00-0000,Jan Weekend HS11,All
NBT00,delivery,Jan,Weekend,12,0.000485,USCA-SDXX-NB00-0000,Jan Weekend HS12,All
NBT00,delivery,Jan,Weekend,13,0.000438,USCA-SDXX-NB00-0000,Jan Weekend HS13,All
NBT00,delivery,Jan,Weekend,14,0.000476,USCA-SDXX-NB00-0000,Jan Weekend HS14,All
NBT00,delivery,Jan,Weekend,15,0.000493,USCA-SDXX-NB00-0000,Jan Weekend HS15,All
NBT00,delivery,Jan,Weekend,16,0.000722,USCA-SDXX-NB00-0000,Jan Weekend HS16,All
NBT00,delivery,Jan,Weekend,17,0.00095,USCA-SDXX-NB00-0000,Jan Weekend HS17,All
NBT00,delivery,Jan,Weekend,18,0.000854,USCA-SDXX-NB00-0000,Jan Weekend HS18,All
NBT00,delivery,Jan,Weekend,19,0.000793,USCA-SDXX-NB00-0000,Jan Weekend HS19,All
NBT00,delivery,Jan,Weekend,20,0.000783,USCA-SDXX-NB00-0000,Jan Weekend HS20,All
NBT00,delivery,Jan,Weekend,21,0.000776,USCA-SDXX-NB00-0000,Jan Weekend HS21,All
NBT00,delivery,Jan,Weekend,22,0.000807,USCA-SDXX-NB00-0000,Jan Weekend HS22,All
NBT00,delivery,Jan,Weekend,23,0.000777,USCA-SDXX-NB00-0000,Jan Weekend HS23,All
NBT00,delivery,Feb,Weekday,0,0.000817,USCA-SDXX-NB00-0000,Feb Weekday HS0,All
NBT00,delivery,Feb,Weekday,1,0.000794,USCA-SDXX-NB00-0000,Feb Weekday HS1,All
NBT00,delivery,Feb,Weekday,2,0.000811,USCA-SDXX-NB00-0000,Feb Weekday HS2,All
NBT00,delivery,Feb,Weekday,3,0.000812,USCA-SDXX-NB00-0000,Feb Weekday HS3,All
NBT00,delivery,Feb,Weekday,4,0.000831,USCA-SDXX-NB00-0000,Feb Weekday HS4,All
NBT00,delivery,Feb,Weekday,5,0.000816,USCA-SDXX-NB00-0000,Feb Weekday HS5,All
NBT00,delivery,Feb,Weekday,6,0.000783,USCA-SDXX-NB00-0000,Feb Weekday HS6,All
NBT00,delivery,Feb,Weekday,7,0.000753,USCA-SDXX-NB00-0000,Feb Weekday HS7,All
NBT00,delivery,Feb,Weekday,8,0.001328,USCA-SDXX-NB00-0000,Feb Weekday HS8,All
NBT00,delivery,Feb,Weekday,9,0.00048,USCA-SDXX-NB00-0000,Feb Weekday HS9,All
NBT00,delivery,Feb,Weekday,10,0.000454,USCA-SDXX-NB00-0000,Feb Weekday HS10,All
NBT00,delivery,Feb,Weekday,11,0.000436,USCA-SDXX-NB00-0000,Feb Weekday HS11,All
NBT00,delivery,Feb,Weekday,12,0.000405,USCA-SDXX-NB00-0000,Feb Weekday HS12,All
NBT00,delivery,Feb,Weekday,13,0.00036,USCA-SDXX-NB00-0000,Feb Weekday HS13,All
NBT00,delivery,Feb,Weekday,14,0.000301,USCA-SDXX-NB00-0000,Feb Weekday HS14,All
NBT00,delivery,Feb,Weekday,15,0.000284,USCA-SDXX-NB00-0000,Feb Weekday HS15,All
NBT00,delivery,Feb,Weekday,16,0.000598,USCA-SDXX-NB00-0000,Feb Weekday HS16,All
NBT00,delivery,Feb,Weekday,17,0.000997,USCA-SDXX-NB00-0000,Feb Weekday HS17,All
NBT00,delivery,Feb,Weekday,18,0.000853,USCA-SDXX-NB00-0000,Feb Weekday HS18,All
NBT00,delivery,Feb,Weekday,19,0.000801,USCA-SDXX-NB00-0000,Feb Weekday HS19,All
NBT00,delivery,Feb,Weekday,20,0.000805,USCA-SDXX-NB00-0000,Feb Weekday HS20,All
NBT00,delivery,Feb,Weekday,21,0.000778,USCA-SDXX-NB00-0000,Feb Weekday HS21,All
NBT00,delivery,Feb,Weekday,22,0.000845,USCA-SDXX-NB00-0000,Feb Weekday HS22,All
NBT00,delivery,Feb,Weekday,23,0.000809,USCA-SDXX-NB00-0000,Feb Weekday HS23,All
NBT00,delivery,Feb,Weekend,0,0.000784,USCA-SDXX-NB00-0000,Feb Weekend HS0,All
NBT00,delivery,Feb,Weekend,1,0.000794,USCA-SDXX-NB00-0000,Feb Weekend HS1,All
NBT00,delivery,Feb,Weekend,2,0.000781,USCA-SDXX-NB00-0000,Feb Weekend HS2,All
NBT00,delivery,Feb,Weekend,3,0.00078,USCA-SDXX-NB00-0000,Feb Weekend HS3,All
NBT00,delivery,Feb,Weekend,4,0.000771,USCA-SDXX-NB00-0000,Feb Weekend HS4,All
NBT00,delivery,Feb,Weekend,5,0.000769,USCA-SDXX-NB00-0000,Feb Weekend HS5,All
NBT00,delivery,Feb,Weekend,6,0.000734,USCA-SDXX-NB00-0000,Feb Weekend HS6,All
NBT00,delivery,Feb,Weekend,7,0.000648,USCA-SDXX-NB00-0000,Feb Weekend HS7,All
NBT00,delivery,Feb,Weekend,8,0.00044,USCA-SDXX-NB00-0000,Feb Weekend HS8,All
