plan,provider,energy,baseline_credit,fixed,total
EV-TOU-5,CEA,4559.04,0.0,289.6,4848.65
EV-TOU-5,SDGE,4255.22,0.0,289.6,4544.82
EV-TOU-2,CEA,5518.32,0.0,289.6,5807.92
EV-TOU-2,SDGE,5214.5,0.0,289.6,5504.1
TOU-DR1,CEA,7043.94,-502.69,289.6,6830.85
TOU-DR1,SDGE,6605.28,-502.69,289.6,6392.19
TOU-DR2,CEA,7390.86,-502.69,289.6,7177.77
TOU-DR2,SDGE,6859.14,-502.69,289.6,6646.05
TOU-ELEC,CEA,6031.61,0.0,289.6,6321.21
TOU-ELEC,SDGE,5759.1,0.0,289.6,6048.7
TOU-DR-P,CEA,6577.61,-502.69,289.6,6364.53
TOU-DR-P,SDGE,6440.06,-502.69,289.6,6226.97
