DATE,TIME,ENERGY_OUT,POWER_OUT,ENERGY_IN,POWER_IN,TEMPERATURE,VOLTAGE
2026-07-23,00:00,0,0,,,20.4,-1
2026-07-23,00:05,,0,,,20.4,-1
2026-07-23,00:10,,0,,,20.3,-1
2026-07-23,00:15,,0,,,20.2,-1
2026-07-23,00:20,,0,,,20.2,-1
2026-07-23,00:25,,0,,,20.3,-1
2026-07-23,00:30,,0,,,20.3,-1
2026-07-23,00:35,,0,,,20.2,-1
2026-07-23,00:40,,0,,,20.2,-1
2026-07-23,00:45,,0,,,20.2,-1
2026-07-23,00:50,,0,,,20.2,-1
2026-07-23,00:55,,0,,,20.2,-1
2026-07-23,01:00,,0,,,20.1,-1
2026-07-23,01:05,,0,,,20.1,-1
2026-07-23,01:10,,0,,,20.1,-1
2026-07-23,01:15,,0,,,20.1,-1
2026-07-23,01:20,,0,,,20.1,-1
2026-07-23,01:25,,0,,,20.1,-1
2026-07-23,01:30,,0,,,20.1,-1
2026-07-23,01:35,,0,,,20,-1
2026-07-23,01:40,,0,,,20,-1
2026-07-23,01:45,,0,,,20,-1
2026-07-23,01:50,,0,,,20.1,-1
2026-07-23,01:55,,0,,,20.1,-1
2026-07-23,02:00,,0,,,20,-1
2026-07-23,02:05,,0,,,20,-1
2026-07-23,02:10,,0,,,20,-1
2026-07-23,02:15,,0,,,20,-1
2026-07-23,02:20,,0,,,20,-1
2026-07-23,02:25,,0,,,20,-1
2026-07-23,02:30,,0,,,19.9,-1
2026-07-23,02:35,,0,,,20,-1
2026-07-23,02:40,,0,,,20,-1
2026-07-23,02:45,,0,,,19.9,-1
2026-07-23,02:50,,0,,,19.9,-1
2026-07-23,02:55,,0,,,19.9,-1
2026-07-23,03:00,,0,,,19.9,-1
2026-07-23,03:05,,0,,,,
2026-07-23,03:10,,0,,,19.9,-1
2026-07-23,03:15,,0,,,19.8,-1
2026-07-23,03:20,,0,,,19.8,-1
2026-07-23,03:25,,0,,,19.8,-1
2026-07-23,03:30,,0,,,19.8,-1
2026-07-23,03:35,,0,,,19.8,-1
2026-07-23,03:40,,0,,,19.8,-1
2026-07-23,03:45,,0,,,19.8,-1
2026-07-23,03:50,,0,,,19.8,-1
2026-07-23,03:55,,0,,,19.8,-1
2026-07-23,04:00,,0,,,19.8,-1
2026-07-23,04:05,,0,,,19.8,-1
2026-07-23,04:10,,0,,,19.8,-1
2026-07-23,04:15,,0,,,19.8,-1
2026-07-23,04:20,,0,,,19.8,-1
2026-07-23,04:25,,0,,,19.8,-1
2026-07-23,04:30,,0,,,19.8,-1
2026-07-23,04:35,,0,,,19.8,-1
2026-07-23,04:40,,0,,,19.7,-1
2026-07-23,04:45,,0,,,19.8,-1
2026-07-23,04:50,,0,,,19.7,-1
2026-07-23,04:55,,0,,,19.7,-1
2026-07-23,05:00,,0,,,19.7,-1
2026-07-23,05:05,,0,,,19.7,-1
2026-07-23,05:10,,0,,,19.7,-1
2026-07-23,05:15,,0,,,19.7,-1
2026-07-23,05:20,,0,,,19.7,-1
2026-07-23,05:25,,0,,,19.7,-1
2026-07-23,05:30,,0,,,19.7,-1
2026-07-23,05:35,,0,,,19.8,-1
2026-07-23,05:40,,0,,,19.7,-1
