statement_date,period,days,provider,n_segments,printed_tou_energy_usd,timeline_energy_usd,timeline_residual_usd,timeline_residual_pct,holdout_printed_priced_usd,holdout_energy_usd,holdout_priced_pct,holdout_unpriced_rows,holdout_residual_usd,holdout_residual_pct,vintage_collapse_basis_usd,vintage_collapse_energy_usd,vintage_collapse_unpriced_rows,vintage_collapse_residual_pct,netting_collapse_energy_usd,netting_collapse_residual_pct,printed_generation_usd,cca_billed_generation_usd,cca_generation_gap_usd,cca_generation_gap_pct,worst_residual
2024-06-27,5/25/24 - 6/25/24,32,bundled,1,128.39,128.39,0.000000,0.0000,0.00,0.00,0.00,6,0.000000,,128.39,128.39,0,0.0000,128.39,0.0000,,,,,worst
2024-07-29,6/26/24 - 7/25/24,30,bundled,1,241.63,241.63,0.000000,0.0000,241.63,241.63,100.00,0,0.000000,0.0000,241.63,241.63,0,0.0000,241.63,0.0000,,,,,
2024-08-28,7/26/24 - 8/26/24,32,bundled,1,288.78,288.78,0.000000,0.0000,288.78,288.78,100.00,0,0.000000,0.0000,288.78,288.78,0,0.0000,288.78,0.0000,,,,,
2024-09-27,8/27/24 - 9/25/24,30,bundled,1,298.23,298.23,0.000000,0.0000,298.23,298.23,100.00,0,0.000000,0.0000,298.23,298.23,0,0.0000,298.23,0.0000,,,,,
2024-10-29,9/26/24 - 10/25/24,30,bundled,2,246.83,246.83,0.000000,0.0000,189.51,189.51,76.78,2,0.000000,0.0000,246.83,246.89,0,0.0232,246.89,0.0232,,,,,
2024-11-27,10/26/24 - 11/25/24,31,bundled,1,187.99,187.99,0.000000,0.0000,58.64,58.64,31.20,6,0.000000,0.0000,187.99,187.99,0,0.0000,187.99,0.0000,,,,,
2024-12-30,11/26/24 - 12/26/24,31,bundled,1,216.54,216.54,0.000000,0.0000,216.54,216.54,100.00,0,0.000000,0.0000,216.54,216.54,0,0.0000,216.54,0.0000,,,,,
2025-01-31,12/27/24 - 1/27/25,32,CCA,2,215.60,215.60,0.000000,0.0000,202.50,202.50,93.92,2,0.000000,0.0000,202.50,202.50,2,0.0000,202.50,-6.0773,101.96,76.09,25.87,33.99,
2025-03-04,1/28/25 - 2/26/25,30,CCA,2,162.34,162.34,0.000000,0.0000,0.00,0.00,0.00,8,0.000000,,162.34,160.83,0,-0.9290,160.83,-0.9290,85.02,58.06,26.96,46.44,
2025-04-02,2/27/25 - 3/27/25,29,CCA,1,92.47,92.47,0.000000,0.0000,92.47,92.47,100.00,0,0.000000,0.0000,92.47,92.47,0,0.0000,92.47,0.0000,46.87,45.27,1.60,3.53,
2025-05-02,3/28/25 - 4/28/25,32,CCA,1,67.11,67.11,0.000000,0.0000,55.86,55.86,83.24,2,0.000000,0.0000,67.11,67.11,0,0.0000,67.11,0.0000,34.98,37.07,-2.09,-5.63,
2025-06-03,4/29/25 - 5/28/25,30,CCA,1,157.52,157.52,0.000000,0.0000,157.52,157.52,100.00,0,0.000000,0.0000,157.52,157.52,0,0.0000,157.52,0.0000,92.08,46.10,45.98,99.74,
2025-07-02,5/29/25 - 6/26/25,29,CCA,1,244.42,244.42,0.000000,0.0000,14.11,14.11,5.77,7,0.000000,0.0000,244.42,244.42,0,0.0000,244.42,0.0000,155.09,132.21,22.88,17.31,
2025-08-01,6/27/25 - 7/28/25,32,CCA,1,271.57,271.57,0.000000,0.0000,271.57,271.57,100.00,0,0.000000,0.0000,271.57,271.57,0,0.0000,271.57,0.0000,171.12,131.97,39.15,29.67,
