section,season,tou_period,vintage_start,vintage_end,provider,authority,rate_per_kwh,comparison_rate_per_kwh,evidence,note
delivery,summer,off_peak,2024-05-25,2026-05-31,bundled+CCA,charged_tariff,,,absent,no positive-kWh line before 2026-06-01 (net-negative buckets print $0)
delivery,summer,off_peak,2026-06-01,2026-06-26,CCA,charged_tariff,0.30203,,direct,printed on 5/29/26 - 6/26/26
delivery,summer,on_peak,2024-05-25,2024-05-31,bundled,charged_tariff,,,absent,no positive-kWh line before 2024-06-01 (net-negative buckets print $0)
delivery,summer,on_peak,2024-06-01,2024-09-30,bundled,charged_tariff,0.26438,,direct,printed on 5/25/24 - 6/25/24; 6/26/24 - 7/25/24; 7/26/24 - 8/26/24; 8/27/24 - 9/25/24; 9/26/24 - 10/25/24
delivery,summer,on_peak,2024-10-01,2024-10-31,bundled,charged_tariff,0.26687,,direct,printed on 9/26/24 - 10/25/24; 10/26/24 - 11/25/24
delivery,summer,on_peak,2024-11-01,2025-05-31,bundled+CCA,charged_tariff,,,absent,rate changed from 0.26687 to 0.29773 somewhere in this gap; no positive-kWh line dates the change
delivery,summer,on_peak,2025-06-01,2025-09-30,CCA,charged_tariff,0.29773,,direct,printed on 5/29/25 - 6/26/25; 6/27/25 - 7/28/25; 7/29/25 - 8/26/25; 8/27/25 - 9/25/25; 9/26/25 - 9/30/25
delivery,summer,on_peak,2025-10-01,2025-10-31,CCA,charged_tariff,0.29426,,direct,printed on 10/1/25 - 10/27/25; 10/28/25 - 11/25/25
delivery,summer,on_peak,2025-11-01,2026-05-31,CCA,charged_tariff,,,absent,rate changed from 0.29426 to 0.30203 somewhere in this gap; no positive-kWh line dates the change
delivery,summer,on_peak,2026-06-01,2026-06-26,CCA,charged_tariff,0.30203,,direct,printed on 5/29/26 - 6/26/26
delivery,summer,super_off_peak,2024-05-25,2024-05-31,bundled,charged_tariff,,,absent,no positive-kWh line before 2024-06-01 (net-negative buckets print $0)
delivery,summer,super_off_peak,2024-06-01,2024-10-31,bundled,charged_tariff,0.04013,,direct,printed on 5/25/24 - 6/25/24; 6/26/24 - 7/25/24; 7/26/24 - 8/26/24; 8/27/24 - 9/25/24; 9/26/24 - 10/25/24; 10/26/24 - 11/25/24
delivery,summer,super_off_peak,2024-11-01,2025-05-31,bundled+CCA,charged_tariff,,,absent,rate changed from 0.04013 to 0.02255 somewhere in this gap; no positive-kWh line dates the change
delivery,summer,super_off_peak,2025-06-01,2025-09-30,CCA,charged_tariff,0.02255,,direct,printed on 5/29/25 - 6/26/25; 6/27/25 - 7/28/25; 7/29/25 - 8/26/25; 8/27/25 - 9/25/25; 9/26/25 - 9/30/25
delivery,summer,super_off_peak,2025-10-01,2025-10-31,CCA,charged_tariff,0.02164,,direct,printed on 10/1/25 - 10/27/25; 10/28/25 - 11/25/25
delivery,summer,super_off_peak,2025-11-01,2026-05-31,CCA,charged_tariff,,,absent,rate changed from 0.02164 to 0.02606 somewhere in this gap; no positive-kWh line dates the change
delivery,summer,super_off_peak,2026-06-01,2026-06-26,CCA,charged_tariff,0.02606,,direct,printed on 5/29/26 - 6/26/26
delivery,winter,off_peak,2024-05-25,2024-12-26,bundled,charged_tariff,,,absent,no positive-kWh line before 2024-12-27 (net-negative buckets print $0)
delivery,winter,off_peak,2024-12-27,2024-12-31,CCA,charged_tariff,0.26687,,direct,printed on 12/27/24 - 1/27/25
delivery,winter,off_peak,2025-01-01,2025-03-27,CCA,charged_tariff,,,absent,rate changed from 0.26687 to 0.27787 somewhere in this gap; no positive-kWh line dates the change
delivery,winter,off_peak,2025-03-28,2025-04-28,CCA,charged_tariff,0.27787,,direct,printed on 3/28/25 - 4/28/25
delivery,winter,off_peak,2025-04-29,2025-05-28,CCA,charged_tariff,0.27787,,carried,net-negative gap; flanking observed rates equal at 0.27787
delivery,winter,off_peak,2025-05-29,2025-05-31,CCA,charged_tariff,0.27787,,direct,printed on 5/29/25 - 6/26/25
delivery,winter,off_peak,2025-06-01,2025-12-26,CCA,charged_tariff,,,absent,rate changed from 0.27787 to 0.29426 somewhere in this gap; no positive-kWh line dates the change
delivery,winter,off_peak,2025-12-27,2025-12-31,CCA,charged_tariff,0.29426,,direct,printed on 12/27/25 - 1/27/26
delivery,winter,off_peak,2026-01-01,2026-02-26,CCA,charged_tariff,,,absent,rate changed from 0.29426 to 0.30814 somewhere in this gap; no positive-kWh line dates the change
delivery,winter,off_peak,2026-02-27,2026-03-27,CCA,charged_tariff,0.30814,,direct,printed on 2/27/26 - 3/27/26
delivery,winter,off_peak,2026-03-28,2026-03-31,CCA,charged_tariff,,,absent,rate changed from 0.30814 to 0.31174 somewhere in this gap; no positive-kWh line dates the change
delivery,winter,off_peak,2026-04-01,2026-05-28,CCA,charged_tariff,0.31174,,direct,printed on 3/28/26 - 4/28/26; 4/29/26 - 5/28/26
delivery,winter,off_peak,2026-05-29,2026-06-26,CCA,charged_tariff,,,absent,no positive-kWh line after 2026-05-28
delivery,winter,on_peak,2024-05-25,2024-10-31,bundled,charged_tariff,,,absent,no positive-kWh line before 2024-11-01 (net-negative buckets print $0)
delivery,winter,on_peak,2024-11-01,2025-01-31,bundled+CCA,charged_tariff,0.26687,,direct,printed on 10/26/24 - 11/25/24; 11/26/24 - 12/26/24; 12/27/24 - 1/27/25; 1/28/25 - 2/26/25
delivery,winter,on_peak,2025-02-01,2025-05-31,CCA,charged_tariff,0.27787,,direct,printed on 1/28/25 - 2/26/25; 2/27/25 - 3/27/25; 3/28/25 - 4/28/25; 4/29/25 - 5/28/25; 5/29/25 - 6/26/25
delivery,winter,on_peak,2025-06-01,2025-10-31,CCA,charged_tariff,,,absent,rate changed from 0.27787 to 0.29426 somewhere in this gap; no positive-kWh line dates the change
delivery,winter,on_peak,2025-11-01,2025-12-31,CCA,charged_tariff,0.29426,,direct,printed on 10/28/25 - 11/25/25; 11/26/25 - 12/26/25; 12/27/25 - 1/27/26
delivery,winter,on_peak,2026-01-01,2026-03-31,CCA,charged_tariff,0.30814,,direct,printed on 12/27/25 - 1/27/26; 1/28/26 - 2/26/26; 2/27/26 - 3/27/26; 3/28/26 - 4/28/26
delivery,winter,on_peak,2026-04-01,2026-05-31,CCA,charged_tariff,0.31174,,direct,printed on 3/28/26 - 4/28/26; 4/29/26 - 5/28/26; 5/29/26 - 6/26/26
delivery,winter,on_peak,2026-06-01,2026-06-26,CCA,charged_tariff,,,absent,no positive-kWh line after 2026-05-31
delivery,winter,super_off_peak,2024-05-25,2024-05-31,bundled,charged_tariff,0.04013,,direct,printed on 5/25/24 - 6/25/24
delivery,winter,super_off_peak,2024-06-01,2024-10-31,bundled,charged_tariff,0.04013,,carried,net-negative gap; flanking observed rates equal at 0.04013
