period,season,tou_period,billed_kwh,as_billed_kwh,as_billed_diff_kwh,as_billed_diff_pct,as_billed_pass,canonical_kwh,canonical_diff_kwh,canonical_diff_pct,canonical_pass
7/29/25 - 8/26/25,summer,on_peak,371.0,370.9,-0.1,-0.028,True,370.9,-0.1,-0.028,True
7/29/25 - 8/26/25,summer,off_peak,-165.0,-165.42,-0.42,-0.258,True,133.95,298.95,181.182,False
7/29/25 - 8/26/25,summer,super_off_peak,1129.0,1129.45,0.45,0.039,True,830.07,-298.93,-26.477,False
8/27/25 - 9/25/25,summer,on_peak,500.0,499.77,-0.23,-0.046,True,499.77,-0.23,-0.046,True
8/27/25 - 9/25/25,summer,off_peak,-82.0,-81.99,0.01,0.006,True,277.47,359.47,438.378,False
8/27/25 - 9/25/25,summer,super_off_peak,1379.0,1379.37,0.37,0.027,True,1019.9,-359.1,-26.04,False
9/26/25 - 9/30/25,summer,on_peak,56.0,56.12,0.12,0.214,True,56.12,0.12,0.214,True
9/26/25 - 9/30/25,summer,off_peak,-3.0,-3.09,-0.09,-2.833,True,25.39,28.39,946.5,False
9/26/25 - 9/30/25,summer,super_off_peak,171.0,170.8,-0.2,-0.117,True,142.32,-28.68,-16.772,False
10/1/25 - 10/27/25,summer,on_peak,318.0,318.45,0.45,0.142,True,318.45,0.45,0.142,True
10/1/25 - 10/27/25,summer,off_peak,-140.0,-140.42,-0.42,-0.3,True,188.73,328.73,234.807,False
10/1/25 - 10/27/25,summer,super_off_peak,1026.0,1026.34,0.34,0.034,True,697.2,-328.8,-32.047,False
10/28/25 - 11/25/25,summer,on_peak,62.0,62.27,0.27,0.427,True,62.27,0.27,0.427,True
10/28/25 - 11/25/25,summer,off_peak,-43.0,-43.48,-0.48,-1.105,True,32.03,75.03,174.488,False
10/28/25 - 11/25/25,summer,super_off_peak,151.0,150.63,-0.37,-0.245,True,75.12,-75.88,-50.248,False
10/28/25 - 11/25/25,winter,on_peak,260.0,259.95,-0.05,-0.019,True,259.95,-0.05,-0.019,True
10/28/25 - 11/25/25,winter,off_peak,-180.0,-180.39,-0.39,-0.217,True,96.12,276.12,153.4,False
10/28/25 - 11/25/25,winter,super_off_peak,752.0,751.69,-0.31,-0.041,True,475.19,-276.81,-36.811,False
11/26/25 - 12/26/25,winter,on_peak,210.0,210.14,0.14,0.067,True,210.14,0.14,0.067,True
11/26/25 - 12/26/25,winter,off_peak,-169.0,-169.2,-0.2,-0.118,True,171.08,340.08,201.231,False
11/26/25 - 12/26/25,winter,super_off_peak,1111.0,1110.5,-0.5,-0.045,True,770.22,-340.78,-30.673,False
12/27/25 - 1/27/26,winter,on_peak,283.0,282.74,-0.26,-0.092,True,282.74,-0.26,-0.092,True
12/27/25 - 1/27/26,winter,off_peak,-29.0,-28.88,0.12,0.397,True,230.11,259.11,893.5,False
12/27/25 - 1/27/26,winter,super_off_peak,929.0,929.14,0.14,0.015,True,670.14,-258.86,-27.864,False
1/28/26 - 2/26/26,winter,on_peak,199.0,198.5,-0.5,-0.251,True,198.5,-0.5,-0.251,True
1/28/26 - 2/26/26,winter,off_peak,-293.0,-292.63,0.37,0.128,True,52.98,345.98,118.082,False
1/28/26 - 2/26/26,winter,super_off_peak,1028.0,1027.56,-0.44,-0.043,True,681.95,-346.05,-33.662,False
2/27/26 - 3/27/26,winter,on_peak,198.0,198.11,0.11,0.056,True,198.11,0.11,0.056,True
2/27/26 - 3/27/26,winter,off_peak,85.0,85.19,0.19,0.224,True,102.61,17.61,20.712,False
2/27/26 - 3/27/26,winter,super_off_peak,534.0,533.76,-0.24,-0.045,True,516.34,-17.66,-3.306,False
3/28/26 - 4/28/26,winter,on_peak,209.0,208.8,-0.2,-0.096,True,208.8,-0.2,-0.096,True
3/28/26 - 4/28/26,winter,off_peak,18.0,18.42,0.42,2.333,True,18.42,0.42,2.333,True
3/28/26 - 4/28/26,winter,super_off_peak,638.0,637.7,-0.3,-0.047,True,637.7,-0.3,-0.047,True
4/29/26 - 5/28/26,winter,on_peak,236.0,235.59,-0.41,-0.176,True,235.59,-0.41,-0.176,True
4/29/26 - 5/28/26,winter,off_peak,21.0,20.75,-0.25,-1.19,True,23.5,2.5,11.905,False
4/29/26 - 5/28/26,winter,super_off_peak,539.0,538.81,-0.19,-0.035,True,536.06,-2.94,-0.545,False
5/29/26 - 6/26/26,summer,on_peak,205.0,205.14,0.14,0.066,True,205.14,0.14,0.066,True
5/29/26 - 6/26/26,summer,off_peak,172.0,171.65,-0.35,-0.206,True,171.65,-0.35,-0.206,True
5/29/26 - 6/26/26,summer,super_off_peak,565.0,564.65,-0.35,-0.061,True,564.65,-0.35,-0.061,True
5/29/26 - 6/26/26,winter,on_peak,31.0,31.44,0.44,1.419,True,31.44,0.44,1.419,True
5/29/26 - 6/26/26,winter,off_peak,-14.0,-14.26,-0.26,-1.857,True,-14.26,-0.26,-1.857,True
5/29/26 - 6/26/26,winter,super_off_peak,28.0,28.11,0.11,0.393,True,28.11,0.11,0.393,True
